Collumn Name,Type,Not Null,Name Field,Allow values
"COD_GRUPO_AREA","NUMBER(6,0)",PK,,
"NUN_SEQ_CVTP","NUMBER(6,0)",FK:CVTP_PRODUTO,,
"SETOR_GRUPO_AREA","VARCHAR2(20)",FALSE,,
"DES_EMAIL_USUAR","VARCHAR2(50)",FALSE,,
"DTH_CAD_REG","DATE",FALSE,,
"COD_REG_USUAR","NUMBER(6,0)",FALSE,,
"COD_REG_EMPRG","NUMBER(3,0)",FALSE,,
